HBA,HBD,Ratio,Density_g_cm3,Visc_HoleTheory_cP,Vm_cm3_mol
Betaine,"1,2_Butanediol",1:1,1.058,1.506,97.9
Betaine,"1,2_Butanediol",1:2,1.06,6.522,93.5
Betaine,"1,2_Butanediol",1:3,1.06,16.471,91.3
Betaine,"1,2_Butanediol",1:4,1.061,30.715,89.98
Betaine,"1,2_Butanediol",1:5,1.061,47.924,89.1
Betaine,"1,2_Butanediol",2:1,1.056,0.551,102.3
Betaine,"1,2_Butanediol",3:1,1.056,0.389,104.5
Betaine,"1,2_Butanediol",4:1,1.055,0.33,105.82
Betaine,"1,2_Butanediol",5:1,1.055,0.301,106.7
Betaine,"1,3_Butanediol",1:1,1.058,1.506,97.9
Betaine,"1,3_Butanediol",1:2,1.06,6.522,93.5
Betaine,"1,3_Butanediol",1:3,1.06,16.471,91.3
Betaine,"1,3_Butanediol",1:4,1.061,30.715,89.98
Betaine,"1,3_Butanediol",1:5,1.061,47.924,89.1
Betaine,"1,3_Butanediol",2:1,1.056,0.551,102.3
Betaine,"1,3_Butanediol",3:1,1.056,0.389,104.5
Betaine,"1,3_Butanediol",4:1,1.055,0.33,105.82
Betaine,"1,3_Butanediol",5:1,1.055,0.301,106.7
Betaine,"1,4_Butanediol",1:1,1.06,1.697,97.75
Betaine,"1,4_Butanediol",1:2,1.062,7.694,93.3
Betaine,"1,4_Butanediol",1:3,1.063,19.917,91.08
Betaine,"1,4_Butanediol",1:4,1.064,37.723,89.74
Betaine,"1,4_Butanediol",1:5,1.064,59.491,88.85
Betaine,"1,4_Butanediol",2:1,1.057,0.595,102.2
Betaine,"1,4_Butanediol",3:1,1.057,0.412,104.42
Betaine,"1,4_Butanediol",4:1,1.056,0.345,105.76
Betaine,"1,4_Butanediol",5:1,1.056,0.313,106.65
Betaine,"1,6_Hexanediol",1:1,1.033,4.427,113.85
Betaine,"1,6_Hexanediol",1:2,1.026,26.797,114.77
Betaine,"1,6_Hexanediol",1:3,1.023,76.496,115.22
Betaine,"1,6_Hexanediol",1:4,1.021,150.433,115.5
Betaine,"1,6_Hexanediol",1:5,1.019,240.752,115.68
Betaine,"1,6_Hexanediol",2:1,1.04,1.096,112.93
Betaine,"1,6_Hexanediol",3:1,1.043,0.637,112.47
Betaine,"1,6_Hexanediol",4:1,1.045,0.483,112.2
Betaine,"1,6_Hexanediol",5:1,1.047,0.411,112.02
Betaine,"2,3_Butanediol",1:1,1.056,1.339,98.05
Betaine,"2,3_Butanediol",1:2,1.057,5.548,93.7
Betaine,"2,3_Butanediol",1:3,1.058,13.683,91.53
Betaine,"2,3_Butanediol",1:4,1.058,25.14,90.22
Betaine,"2,3_Butanediol",1:5,1.058,38.827,89.35
Betaine,"2,3_Butanediol",2:1,1.055,0.51,102.4
Betaine,"2,3_Butanediol",3:1,1.055,0.367,104.57
Betaine,"2,3_Butanediol",4:1,1.055,0.315,105.88
Betaine,"2,3_Butanediol",5:1,1.055,0.29,106.75
Betaine,Citric_Acid,1:1,2.628,1.563,58.8
Betaine,Citric_Acid,1:2,4.038,8.544,41.37
Betaine,Citric_Acid,1:3,5.308,38.374,32.65
Betaine,Citric_Acid,1:4,6.457,146.589,27.42
Betaine,Citric_Acid,1:5,7.501,489.492,23.93
Betaine,Citric_Acid,2:1,1.864,0.617,76.23
Betaine,Citric_Acid,3:1,1.599,0.448,84.95
Betaine,Citric_Acid,4:1,1.464,0.381,90.18
Betaine,Citric_Acid,5:1,1.383,0.346,93.67
Betaine,Ethylene_Glycol,1:1,1.097,0.596,81.65
Betaine,Ethylene_Glycol,1:2,1.119,1.882,71.83
Betaine,Ethylene_Glycol,1:3,1.133,4.34,66.93
Betaine,Ethylene_Glycol,1:4,1.142,7.965,63.98
Betaine,Ethylene_Glycol,1:5,1.148,12.566,62.02
